year,importer1,importer2,flow1,flow2
2005,Music Games,Dice,744,744
2005,Music Games,Educational,2082,2082
2005,Music Games,Family,2928,2928
2005,Music Games,Music Games,2617,2617
2005,Music Games,Puzzle,1909,1909
2005,Music Games,Racing,1610,1610
2005,Music Games,Role Playing,1106,1106
2005,Music Games,Simulation,1284,1284
2005,Music Games,Sports Games,421,421
2005,Music Games,Strategy,314,314
2005,Music Games,Trivia,2441,2441
2005,Music Games,Word,785,785
2005,Puzzle,Action,13978,13978
2005,Puzzle,Adventure,18161,18161
2005,Puzzle,Arcade,27686,27686
2005,Puzzle,Board,26721,26721
2005,Puzzle,Card,4650,4650
2005,Puzzle,Casino,954,954
2005,Puzzle,Dice,915,915
2005,Puzzle,Educational,20176,20176
2005,Puzzle,Family,23832,23832
2005,Puzzle,Music Games,1909,1909
2005,Puzzle,Puzzle,23621,23621
2005,Puzzle,Racing,962,962
2005,Puzzle,Role Playing,2011,2011
2005,Puzzle,Simulation,3026,3026
2005,Puzzle,Sports Games,1465,1465
2005,Puzzle,Strategy,22261,22261
2005,Puzzle,Trivia,14296,14296
2005,Puzzle,Word,11121,11121
2005,Racing,Action,8322,8322
2005,Racing,Adventure,4791,4791
2005,Racing,Arcade,7616,7616
2005,Racing,Board,323,323
2005,Racing,Card,173,173
2005,Racing,Casino,256,256
2005,Racing,Dice,434,434
2005,Racing,Educational,527,527
2005,Racing,Family,1892,1892
2005,Racing,Music Games,1610,1610
2005,Racing,Puzzle,962,962
2005,Racing,Racing,2858,2858
2005,Racing,Role Playing,1978,1978
2005,Racing,Simulation,6598,6598
2005,Racing,Sports Games,5474,5474
2005,Racing,Strategy,834,834
2005,Racing,Trivia,459,459
2005,Racing,Word,94,94
2005,Role Playing,Action,9876,9876
2005,Role Playing,Adventure,11257,11257
2005,Role Playing,Arcade,2247,2247
2005,Role Playing,Board,762,762
2005,Role Playing,Card,2255,2255
2005,Role Playing,Casino,316,316
2005,Role Playing,Dice,486,486
2005,Role Playing,Educational,1262,1262
2005,Role Playing,Family,5424,5424
2005,Role Playing,Music Games,1106,1106
2005,Role Playing,Puzzle,2011,2011
2005,Role Playing,Racing,1978,1978
2005,Role Playing,Role Playing,3398,3398
2005,Role Playing,Simulation,9061,9061
2005,Role Playing,Sports Games,1200,1200
2005,Role Playing,Strategy,9206,9206
2005,Role Playing,Trivia,1406,1406
2005,Role Playing,Word,497,497
2005,Simulation,Action,8962,8962
2005,Simulation,Adventure,7364,7364
2005,Simulation,Arcade,6549,6549
2005,Simulation,Board,1153,1153
2005,Simulation,Card,704,704
2005,Simulation,Casino,4134,4134
2005,Simulation,Dice,467,467
2005,Simulation,Educational,2817,2817
2005,Simulation,Family,7656,7656
2005,Simulation,Music Games,1284,1284
2005,Simulation,Puzzle,3026,3026
2005,Simulation,Racing,6598,6598
2005,Simulation,Role Playing,9061,9061
2005,Simulation,Simulation,5792,5792
2005,Simulation,Sports Games,5465,5465
2005,Simulation,Strategy,7730,7730
2005,Simulation,Trivia,1641,1641
2005,Simulation,Word,546,546
2005,Sports Games,Action,6855,6855
2005,Sports Games,Adventure,1699,1699
2005,Sports Games,Arcade,6567,6567
2005,Sports Games,Board,999,999
2005,Sports Games,Card,594,594
2005,Sports Games,Casino,621,621
2005,Sports Games,Dice,223,223
2005,Sports Games,Educational,531,531
2005,Sports Games,Family,2320,2320
2005,Sports Games,Music Games,421,421
2005,Sports Games,Puzzle,1465,1465
2005,Sports Games,Racing,5474,5474
2005,Sports Games,Role Playing,1200,1200
2005,Sports Games,Simulation,5465,5465
2005,Sports Games,Sports Games,4300,4300
2005,Sports Games,Strategy,1925,1925
2005,Sports Games,Trivia,3026,3026
2005,Sports Games,Word,305,305
2005,Strategy,Action,10210,10210
2005,Strategy,Adventure,7056,7056
2005,Strategy,Arcade,8078,8078
2005,Strategy,Board,7099,7099
2005,Strategy,Card,3144,3144
2005,Strategy,Casino,519,519
2005,Strategy,Dice,434,434
2005,Strategy,Educational,1275,1275
2005,Strategy,Family,3674,3674
2005,Strategy,Music Games,314,314
2005,Strategy,Puzzle,22261,22261
2005,Strategy,Racing,834,834
2005,Strategy,Role Playing,9206,9206
2005,Strategy,Simulation,7730,7730
2005,Strategy,Sports Games,1925,1925
2005,Strategy,Strategy,3487,3487
2005,Strategy,Trivia,1949,1949
2005,Strategy,Word,667,667
2005,Trivia,Action,3198,3198
2005,Trivia,Adventure,1540,1540
2005,Trivia,Arcade,2365,2365
2005,Trivia,Board,2411,2411
2005,Trivia,Card,829,829
2005,Trivia,Casino,961,961
2005,Trivia,Dice,794,794
2005,Trivia,Educational,10930,10930
2005,Trivia,Family,7773,7773
2005,Trivia,Music Games,2441,2441
2005,Trivia,Puzzle,14296,14296
2005,Trivia,Racing,459,459
2005,Trivia,Role Playing,1406,1406
2005,Trivia,Simulation,1641,1641
2005,Trivia,Sports Games,3026,3026
2005,Trivia,Strategy,1949,1949
2005,Trivia,Trivia,6175,6175
2005,Trivia,Word,11824,11824
2005,Word,Action,425,425
2005,Word,Adventure,408,408
2005,Word,Arcade,534,534
2005,Word,Board,2148,2148
2005,Word,Card,443,443
2005,Word,Casino,172,172
2005,Word,Dice,326,326
2005,Word,Educational,9539,9539
2005,Word,Family,2468,2468
2005,Word,Music Games,785,785
2005,Word,Puzzle,11121,11121
2005,Word,Racing,94,94
2005,Word,Role Playing,497,497
2005,Word,Simulation,546,546
2005,Word,Sports Games,305,305
2005,Word,Strategy,667,667
2005,Word,Trivia,11824,11824
2005,Word,Word,2272,2272
